tag,n
Áreas de impacto: Impacto comunicacional,84
Áreas de impacto: Impacto de Construção de Parcerias,43
Engajamento de Stakeholders: Interação Linear,31
Nível de Influência Geográfica: Regional,23
Categorias de impacto: Impacto de Construção de Capacidade,22
Nível de Influência Geográfica: Local,20
Áreas de impacto: Produção Científica e de Conhecimento,20
Áreas de impacto: Impacto Intrauniversitários,19
Áreas de impacto: Organizacional,17
Áreas de impacto: Econômica,17
Categorias de impacto: Impacto Instrumental,16
Engajamento de Stakeholders: Coprodução,14
Nível de Influência Geográfica: Internacional,14
Áreas de impacto: Social e Cultural,10
Áreas de impacto: Tecnologia e Inovação,10
Métodos de avaliação: Análise bibliométrica,9
Métodos de avaliação: Escalas de pontuação e sistemas de classificação,8
Áreas de impacto: Educacional,8
Categorias de impacto: Impactos Relacionais/de Rede,8
Nível de Influência Geográfica: Nacional,7
Engajamento de Stakeholders: Interação Cíclica,6
Engajamento de Stakeholders: Identificação e Seleção de Stakeholders,6
Métodos de avaliação: Altmetria,5
